Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Pathway,Gene Ontology (biological process),Gene Ontology (molecular function),PDB,Pfam
P24178,reviewed,YFFB_ECOLI,Protein YffB,yffB b2471 JW2455,Escherichia coli (strain K12),118,,,,,PF03960;
P24211,reviewed,RHSE_ECOLI,Putative protein RhsE,rhsE b1456 JW1451,Escherichia coli (strain K12),682,,,,,PF22322;PF03527;
P25531,reviewed,YICR_ECOLI,UPF0758 protein YicR,yicR b3638 JW5643,Escherichia coli (strain K12),222,,proteolysis [GO:0006508],metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237],,PF04002;PF20582;
P25550,reviewed,ASLB_ECOLI,Anaerobic sulfatase-maturating enzyme homolog AslB (AnSME homolog),aslB atsB b3800 JW5594,Escherichia coli (strain K12),411,,protein maturation [GO:0051604],"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]",,PF04055;PF13186;
P25738,reviewed,MSYB_ECOLI,Acidic protein MsyB,msyB b1051 JW1039,Escherichia coli (strain K12),124,,,,8IMQ;,PF13984;
P25743,reviewed,YCHE_ECOLI,UPF0056 membrane protein YhcE,ychE b1242 JW1229,Escherichia coli (strain K12),215,,,,,PF01914;
P25747,reviewed,YEIB_ECOLI,Uncharacterized protein YeiB,yeiB b2152 JW2139,Escherichia coli (strain K12),385,,,,,PF04235;
P26608,reviewed,FLIS_ECOLI,Flagellar secretion chaperone FliS,fliS b1925 JW1910,Escherichia coli (strain K12),136,,bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973],,,PF02561;
P27294,reviewed,INAA_ECOLI,Protein InaA,inaA yfaG b2237 JW2231,Escherichia coli (strain K12),216,,,,,PF06293;
P27297,reviewed,BAX_ECOLI,Protein bax,bax b3570 JW5653,Escherichia coli (strain K12),274,,,amidase activity [GO:0004040]; ATP binding [GO:0005524],,PF01832;
P27375,reviewed,YJAZ_ECOLI,Protein YjaZ (Heat shock protein C),yjaZ htrC b3989 JW3952,Escherichia coli (strain K12),179,,,,,
P27843,reviewed,YIGG_ECOLI,Inner membrane protein YigG,yigG b3818 JW5590,Escherichia coli (strain K12),126,,,,,
P27844,reviewed,RARD_ECOLI,Protein RarD,rarD b3819 JW5589,Escherichia coli (strain K12),296,,,,,PF00892;
P28303,reviewed,DINF_ECOLI,DNA damage-inducible protein F,dinF b4044 JW4004,Escherichia coli (strain K12),459,,,antiporter activity [GO:0015297]; xenobiotic transmembrane transporter activity [GO:0042910],,PF01554;
P28369,reviewed,RFH_ECOLI,Putative peptide chain release factor homolog (RF-H),prfH b0236 JW0226,Escherichia coli (strain K12),166,,,translation release factor activity [GO:0003747],,PF00472;
P28697,reviewed,MBIA_ECOLI,Uncharacterized protein MbiA (Modifier of biofilm),mbiA htgA htpY b0012 JW5001,Escherichia coli (strain K12),161,,,,,
P28721,reviewed,GLTF_ECOLI,Protein GltF,gltF b3214 JW3181,Escherichia coli (strain K12),254,,,,,PF06551;
P28722,reviewed,YHCA_ECOLI,Uncharacterized fimbrial chaperone YhcA,yhcA b3215 JW3182,Escherichia coli (strain K12),224,,cell wall organization [GO:0071555]; chaperone-mediated protein folding [GO:0061077],protein folding chaperone [GO:0044183],,PF00345;
P28912,reviewed,YHHI_ECOLI,H repeat-associated putative transposase YhhI (ORF-H),yhhI b3484 JW3451,Escherichia coli (strain K12),378,,DNA transposition [GO:0006313],DNA binding [GO:0003677]; transposase activity [GO:0004803],,PF01609;PF13808;
P28916,reviewed,YBFD_ECOLI,H repeat-associated putative transposase YbfD (ORF-H3),ybfD b0706 JW0696,Escherichia coli (strain K12),253,,DNA transposition [GO:0006313],DNA binding [GO:0003677]; transposase activity [GO:0004803],,PF01609;PF13808;
P28917,reviewed,YDCC_ECOLI,H repeat-associated putative transposase YdcC (ORF-H),ydcC b1460 JW1455,Escherichia coli (strain K12),378,,DNA transposition [GO:0006313],DNA binding [GO:0003677]; transposase activity [GO:0004803],,PF01609;PF13808;
P29217,reviewed,YCEH_ECOLI,UPF0502 protein YceH (G20.3),yceH b1067 JW1054,Escherichia coli (strain K12),215,,,,5VYV;,PF04337;
P29744,reviewed,FLGL_ECOLI,Flagellar hook-associated protein 3 (HAP3) (Hook-filament junction protein),flgL flaT flaU b1083 JW1070,Escherichia coli (strain K12),317,,bacterial-type flagellum-dependent cell motility [GO:0071973],structural molecule activity [GO:0005198],,PF00669;
P30143,reviewed,YAAJ_ECOLI,Uncharacterized transporter YaaJ,yaaJ b0007 JW0006,Escherichia coli (strain K12),476,,,amino acid:sodium symporter activity [GO:0005283],,PF01235;
P30149,reviewed,YABI_ECOLI,Inner membrane protein YabI,yabI b0065 JW5005,Escherichia coli (strain K12),254,,FtsZ-dependent cytokinesis [GO:0043093]; response to ionizing radiation [GO:0010212],,,PF09335;
P30177,reviewed,YBIB_ECOLI,Uncharacterized protein YbiB,ybiB b0800 JW0785,Escherichia coli (strain K12),320,,L-tryptophan biosynthetic process [GO:0000162],anthranilate phosphoribosyltransferase activity [GO:0004048]; DNA binding [GO:0003677]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723],4MUO;8BFR;8BFT;,PF02885;
P30192,reviewed,INSZ_ECOLI,Putative transposase InsZ,insZ ychG b4573 JW1227/JW5883 b1239/b1240,Escherichia coli (strain K12),299,,DNA transposition [GO:0006313],DNA binding [GO:0003677]; transposase activity [GO:0004803],,PF01609;PF13006;
P30852,reviewed,SMF_ECOLI,Protein Smf,smf b4473 JW5708,Escherichia coli (strain K12),374,,DNA-mediated transformation [GO:0009294],,,PF02481;PF17782;PF25317;
P30864,reviewed,YAFC_ECOLI,Uncharacterized HTH-type transcriptional regulator YafC,yafC b0208 JW0198,Escherichia coli (strain K12),304,,regulation of DNA-templated transcription [GO:0006355]; response to ionizing radiation [GO:0010212],DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976],,PF00126;PF03466;
P30979,reviewed,YBEF_ECOLI,Uncharacterized HTH-type transcriptional regulator YbeF,ybeF b0629 JW0624,Escherichia coli (strain K12),317,,regulation of DNA-templated transcription [GO:0006355],DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],,PF00126;PF03466;
P31061,reviewed,NOHA_ECOLI,Prophage DNA-packing protein NohA (Prophage Qin DNA-packaging protein Nu1 homolog),nohA nohQ b1548 JW1541,Escherichia coli (strain K12),189,,,,,PF07471;
P31063,reviewed,YEDD_ECOLI,Uncharacterized lipoprotein YedD,yedD b1928 JW1913,Escherichia coli (strain K12),137,,,,,PF13987;
P31064,reviewed,YEDE_ECOLI,Probable transporter YedE,yedE b1929 JW1914,Escherichia coli (strain K12),401,,,,,PF04143;
P31130,reviewed,YDEI_ECOLI,Uncharacterized protein YdeI,ydeI b1536 JW1529,Escherichia coli (strain K12),130,,cellular response to hydrogen peroxide [GO:0070301]; single-species biofilm formation on inanimate substrate [GO:0044011],,,PF04076;
P31131,reviewed,YDEJ_ECOLI,Protein YdeJ,ydeJ b1537 JW1530,Escherichia coli (strain K12),172,,,,,PF02464;
P31433,reviewed,YICH_ECOLI,AsmA family protein YicH,yicH b3655 JW3630,Escherichia coli (strain K12),569,,,,,PF05170;
P31435,reviewed,YICJ_ECOLI,Inner membrane symporter YicJ,yicJ b3657 JW5939,Escherichia coli (strain K12),460,,carbohydrate transport [GO:0008643]; sodium ion transport [GO:0006814]; transmembrane transport [GO:0055085],symporter activity [GO:0015293],,PF13347;
P31437,reviewed,YICL_ECOLI,Uncharacterized inner membrane transporter YicL,yicL b3660 JW3634,Escherichia coli (strain K12),307,,,,,PF00892;
P31446,reviewed,YIDI_ECOLI,Inner membrane protein YidI,yidI b3677 JW3653,Escherichia coli (strain K12),149,,,,,
P31447,reviewed,YIDJ_ECOLI,Uncharacterized sulfatase YidJ (EC 3.1.6.-),yidJ b3678 JW3654,Escherichia coli (strain K12),497,,,arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872],,PF00884;
P31448,reviewed,YIDK_ECOLI,Uncharacterized symporter YidK,yidK b3679 JW3655,Escherichia coli (strain K12),571,,,D-glucose:sodium symporter activity [GO:0005412],,PF00474;
P31449,reviewed,YIDL_ECOLI,Uncharacterized HTH-type transcriptional regulator YidL,yidL b3680 JW3656,Escherichia coli (strain K12),297,,,DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565],,PF02311;PF12833;
P31450,reviewed,GLVG_ECOLI,Putative inactive 6-phospho-alpha-glucosidase,glvG b4556 b3681,Escherichia coli (strain K12),212,,carbohydrate metabolic process [GO:0005975],"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]",,PF02056;
P31453,reviewed,YIDP_ECOLI,Uncharacterized HTH-type transcriptional regulator YidP,yidP b3684 JW3661,Escherichia coli (strain K12),238,,negative regulation of DNA-templated transcription [GO:0045892],DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],,PF00392;PF07702;
P31456,reviewed,CBRA_ECOLI,Protein CbrA (CreB-regulated gene A protein),cbrA yidS b3690 JW5631,Escherichia coli (strain K12),354,,bacteriocin immunity [GO:0030153],FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660],,PF01494;
P31468,reviewed,CBRB_ECOLI,Inner membrane protein CbrB (CreB-regulated gene B protein),cbrB yieI b3716 JW3694,Escherichia coli (strain K12),155,,,,,
P31469,reviewed,CBRC_ECOLI,UPF0167 protein CbrC (CreB-regulated gene C protein),cbrC yieJ b3717 JW3695,Escherichia coli (strain K12),195,,bacteriocin immunity [GO:0030153],,,PF03691;
P31470,reviewed,YIEK_ECOLI,Uncharacterized protein YieK,yieK b3718 JW5613,Escherichia coli (strain K12),240,,carbohydrate metabolic process [GO:0005975]; glucosamine catabolic process [GO:0006043]; N-acetylglucosamine catabolic process [GO:0006046]; N-acetylneuraminate catabolic process [GO:0019262],glucosamine-6-phosphate deaminase activity [GO:0004342]; identical protein binding [GO:0042802],,PF01182;
P31471,reviewed,YIEL_ECOLI,Uncharacterized protein YieL,yieL b3719 JW5612,Escherichia coli (strain K12),389,,carbohydrate metabolic process [GO:0005975],"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",,PF02922;PF00756;
P31475,reviewed,YIEP_ECOLI,Uncharacterized HTH-type transcriptional regulator YieP,yieP b3755 JW5608,Escherichia coli (strain K12),230,,,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],,PF07729;PF00392;
P31666,reviewed,YADE_ECOLI,Uncharacterized protein YadE,yadE b0130 JW0126,Escherichia coli (strain K12),409,,carbohydrate metabolic process [GO:0005975],"hydrolase activity [GO:0016787]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]",,PF01522;
P31679,reviewed,YAAU_ECOLI,Putative metabolite transport protein YaaU,yaaU yabE b0045 JW0044,Escherichia coli (strain K12),443,,response to oxidative stress [GO:0006979],transmembrane transporter activity [GO:0022857],,PF00083;
P31808,reviewed,YCIK_ECOLI,Uncharacterized oxidoreductase YciK (EC 1.-.-.-),yciK b1271 JW1263,Escherichia coli (strain K12),252,,,oxidoreductase activity [GO:0016491],3E9Q;3F1K;3F1L;,PF00106;
P31827,reviewed,YDDB_ECOLI,Uncharacterized protein YddB (CDS103),yddB b1495 JW1490,Escherichia coli (strain K12),790,,,,6OFR;,PF07715;
P32051,reviewed,YDEK_ECOLI,Uncharacterized lipoprotein YdeK (ORFT),ydeK orfT b1510 JW1503,Escherichia coli (strain K12),1325,,,,,PF13018;PF12951;
P32057,reviewed,WCAI_ECOLI,Putative colanic acid biosynthesis glycosyl transferase WcaI,wcaI yefD b2050 JW2035,Escherichia coli (strain K12),407,PATHWAY: Slime biogenesis; slime polysaccharide biosynthesis.,colanic acid biosynthetic process [GO:0009242]; lipopolysaccharide biosynthetic process [GO:0009103]; slime layer polysaccharide biosynthetic process [GO:0045228],alpha-(1->3)-fucosyltransferase activity [GO:0046920],,PF13579;PF00534;
P32135,reviewed,YIHN_ECOLI,Inner membrane protein YihN,yihN b3874 JW3845,Escherichia coli (strain K12),421,,,transmembrane transporter activity [GO:0022857],,PF07690;
P32139,reviewed,YIHR_ECOLI,Uncharacterized protein YihR,yihR b3879 JW3850,Escherichia coli (strain K12),308,,"6-sulfoquinovose(1-) catabolic process [GO:1902777]; galactose catabolic process via UDP-galactose, Leloir pathway [GO:0033499]; glucose metabolic process [GO:0006006]; single-species biofilm formation [GO:0044010]",aldose 1-epimerase activity [GO:0004034]; carbohydrate binding [GO:0030246],,PF01263;
P32152,reviewed,FRVR_ECOLI,Putative frv operon regulatory protein [Includes: Putative phosphotransferase EIIA component (EC 2.7.1.-) (Putative PTS system EIIA component)],frvR yiiH b3897 JW3868,Escherichia coli (strain K12),582,,,DNA binding [GO:0003677]; kinase activity [GO:0016301],,PF08279;PF00359;
P32153,reviewed,FRVX_ECOLI,Putative aminopeptidase FrvX (EC 3.4.11.-),frvX yiiI b3898 JW3869,Escherichia coli (strain K12),356,,proteolysis [GO:0006508],metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006],,PF05343;
P32674,reviewed,GRE1_ECOLI,Probable dehydratase PflD (EC 4.2.1.-),pflD yijL b3951 JW3923,Escherichia coli (strain K12),765,,,lyase activity [GO:0016829],8YJO;,PF01228;PF02901;
P32677,reviewed,YIJO_ECOLI,Uncharacterized HTH-type transcriptional regulator YijO,yijO b3954 JW3926,Escherichia coli (strain K12),283,,,DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565],,PF12833;
P32687,reviewed,YJBF_ECOLI,Uncharacterized lipoprotein YjbF,yjbF b4027 JW5711,Escherichia coli (strain K12),212,,,,,PF11102;
P32703,reviewed,YJCE_ECOLI,Uncharacterized Na(+)/H(+) exchanger YjcE,yjcE b4065 JW4026,Escherichia coli (strain K12),549,,potassium ion transmembrane transport [GO:0071805]; regulation of intracellular pH [GO:0051453]; sodium ion import across plasma membrane [GO:0098719],potassium:proton antiporter activity [GO:0015386]; sodium:proton antiporter activity [GO:0015385],,PF00999;
P32709,reviewed,NRFD_ECOLI,Protein NrfD,nrfD yjcK b4073 JW4034,Escherichia coli (strain K12),318,,,,,PF03916;
P32712,reviewed,NRFG_ECOLI,Formate-dependent nitrite reductase complex subunit NrfG,nrfG yjcN b4076 JW4037,Escherichia coli (strain K12),198,,,,,PF23914;
P33011,reviewed,YEEA_ECOLI,Inner membrane protein YeeA,yeeA b2008 JW1990,Escherichia coli (strain K12),352,,,transmembrane transporter activity [GO:0022857],,PF04632;
P33020,reviewed,YEII_ECOLI,Uncharacterized sugar kinase YeiI (EC 2.7.1.-),yeiI b2160 JW2147,Escherichia coli (strain K12),362,,,kinase activity [GO:0016301],,PF13412;PF00294;
P33029,reviewed,YEIQ_ECOLI,Uncharacterized oxidoreductase YeiQ (EC 1.-.-.-),yeiQ b2172 JW2160,Escherichia coli (strain K12),488,,mannitol metabolic process [GO:0019594],"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]",,PF01232;PF08125;
P33218,reviewed,YEBE_ECOLI,Inner membrane protein YebE,yebE b1846 JW1835,Escherichia coli (strain K12),219,,,,,PF04391;
P33235,reviewed,FLGK_ECOLI,Flagellar hook-associated protein 1 (HAP1),flgK flaS flaW b1082 JW1069,Escherichia coli (strain K12),547,,bacterial-type flagellum assembly [GO:0044780],structural molecule activity [GO:0005198],,PF00460;PF06429;PF21158;PF22638;
P33236,reviewed,MOKC_ECOLI,Regulatory protein MokC,mokC gefL b0018 JW5879,Escherichia coli (strain K12),69,,,,,PF01848;
P33345,reviewed,YEHF_ECOLI,Protein YehF,yehF dinO molR sosF b2115 b2116/b2117 b4499,Escherichia coli (strain K12),274,,,,,PF05406;
P33348,reviewed,YEHL_ECOLI,Uncharacterized protein YehL,yehL b2119 JW5349,Escherichia coli (strain K12),362,,,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,PF07728;
P33349,reviewed,YEHM_ECOLI,Uncharacterized protein YehM,yehM yehN yehO b2120 JW2108,Escherichia coli (strain K12),759,,,,,PF18934;
P33353,reviewed,YEHQ_ECOLI,Protein YehQ,yehQ b2122 JW2110,Escherichia coli (strain K12),614,,,zinc ion binding [GO:0008270],,PF04434;
P33354,reviewed,YEHR_ECOLI,Uncharacterized lipoprotein YehR,yehR b2123 JW5351,Escherichia coli (strain K12),153,,,,2JOE;,PF06998;
P33366,reviewed,YOHD_ECOLI,Inner membrane protein YohD,yohD b2136 JW2124,Escherichia coli (strain K12),192,,FtsZ-dependent cytokinesis [GO:0043093],,,PF09335;
P33368,reviewed,YOHF_ECOLI,Uncharacterized oxidoreductase YohF (EC 1.-.-.-),yohF yohE b2137 JW2125,Escherichia coli (strain K12),253,,lipid metabolic process [GO:0006629]; monocarboxylic acid metabolic process [GO:0032787],oxidoreductase activity [GO:0016491],6OZ7;,PF13561;
P33554,reviewed,PPDA_ECOLI,Prepilin peptidase-dependent protein A,ppdA b2826 JW2794,Escherichia coli (strain K12),156,,,,,PF07963;
P33634,reviewed,YFIE_ECOLI,Uncharacterized HTH-type transcriptional regulator YfiE,yfiE b2577 JW2561,Escherichia coli (strain K12),293,,regulation of DNA-templated transcription [GO:0006355],DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976],,PF00126;PF03466;
P33666,reviewed,YDBA_ECOLI,Exported protein YdbA,ydbA b4492 JW5802/JW1402 b1401/b1405,Escherichia coli (strain K12),852,,,,,
P33924,reviewed,YEJO_ECOLI,Putative uncharacterized outer membrane protein YejO,yejO b2190 JW5839,Escherichia coli (strain K12),863,,,,,PF16168;PF03797;PF03212;
P33997,reviewed,ALPA_ECOLI,DNA-binding transcriptional activator AlpA (Prophage CP4-57 regulatory protein AlpA),alpA alp b2624 JW2604,Escherichia coli (strain K12),70,,positive regulation of DNA-templated transcription [GO:0045893]; single-species biofilm formation [GO:0044010],DNA binding [GO:0003677],,PF05930;
P34209,reviewed,YDCF_ECOLI,Protein YdcF,ydcF b1414 JW1411,Escherichia coli (strain K12),266,,,,3CA8;,PF02698;
P36547,reviewed,EUTR_ECOLI,HTH-type DNA-binding transcriptional activator EutR (Ethanolamine operon regulatory protein),eutR yfeG b2437 JW2430,Escherichia coli (strain K12),350,PATHWAY: Amine and polyamine degradation; ethanolamine degradation. {ECO:0000305}.,ethanolamine catabolic process [GO:0046336]; regulation of DNA-templated transcription [GO:0006355],cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700],,PF12833;
P36554,reviewed,MDTD_ECOLI,Putative multidrug resistance protein MdtD,mdtD yegB b2077 JW2062,Escherichia coli (strain K12),471,,transmembrane transport [GO:0055085],transmembrane transporter activity [GO:0022857],,PF07690;
P36645,reviewed,HOFB_ECOLI,Protein transport protein HofB homolog,hofB hopB b0107 JW0103,Escherichia coli (strain K12),461,,,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,PF05157;PF00437;
P36646,reviewed,HOFC_ECOLI,Protein transport protein HofC homolog,hofC hopC yacD b0106 JW0102,Escherichia coli (strain K12),400,,protein secretion by the type II secretion system [GO:0015628],,,PF00482;
P36881,reviewed,YADI_ECOLI,Putative phosphotransferase enzyme IIA component YadI (Putative PTS system EIIA component),yadI b0129 JW0125,Escherichia coli (strain K12),146,,phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401],kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982],,PF03610;
P36928,reviewed,YEGD_ECOLI,Uncharacterized chaperone protein YegD,yegD b2069 JW2054,Escherichia coli (strain K12),450,,chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183],,PF00012;
P36930,reviewed,GATR_ECOLI,Putative galactitol utilization operon repressor,gatR b4498 JW5340/JW2074 b2087/b2090,Escherichia coli (strain K12),112,,,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],,PF08220;
P36943,reviewed,EAEH_ECOLI,Putative attaching and effacing protein homolog,eaeH b0297 JW0291,Escherichia coli (strain K12),295,,cell adhesion [GO:0007155],,,PF11924;
P37005,reviewed,LAST_ECOLI,Uncharacterized tRNA/rRNA methyltransferase LasT (EC 2.1.1.-),lasT yjtD b4403 JW4366,Escherichia coli (strain K12),228,,tRNA nucleoside ribose methylation [GO:0002128],protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173],,PF00588;
P37007,reviewed,YAGA_ECOLI,Uncharacterized protein YagA,yagA b0267 JW0260,Escherichia coli (strain K12),384,,DNA integration [GO:0015074],nucleic acid binding [GO:0003676],,PF13565;PF00665;
P37008,reviewed,YAGB_ECOLI,Orphan antitoxin YagB,yagB b0266 JW0259,Escherichia coli (strain K12),116,,positive regulation of cytoskeleton organization [GO:0051495],,,PF06154;
P37014,reviewed,RPNE_ECOLI,Inactive recombination-promoting nuclease-like protein RpnE,yfaD b2244 JW2238,Escherichia coli (strain K12),299,,DNA recombination [GO:0006310],double-stranded DNA endonuclease activity [GO:1990238],,PF04754;
P37056,reviewed,YAEF_ECOLI,Probable lipoprotein peptidase YaeF (EC 3.4.-.-) (Uncharacterized lipoprotein YaeF),yaeF yaeK b0193 JW5016,Escherichia coli (strain K12),274,,proteolysis [GO:0006508],cysteine-type peptidase activity [GO:0008234],,PF05708;
P37057,reviewed,OGRK_ECOLI,Prophage late control protein OgrK (Prophage P2 OGR protein),ogrK b2082 JW2067,Escherichia coli (strain K12),72,,positive regulation of DNA-templated transcription [GO:0045893],,,PF04606;
P37305,reviewed,HOKA_ECOLI,Protein HokA,hokA yiaZ b4455 JW3526,Escherichia coli (strain K12),50,,,,,PF01848;
P37325,reviewed,YBCH_ECOLI,Uncharacterized protein YbcH,ybcH b0567 JW0556,Escherichia coli (strain K12),296,,secretion by cell [GO:0032940],,,PF14488;
P37327,reviewed,YFDC_ECOLI,Inner membrane protein YfdC,yfdC b2347 JW2344,Escherichia coli (strain K12),310,,formate transport [GO:0015724],formate transmembrane transporter activity [GO:0015499],,PF01226;
P37342,reviewed,YJJI_ECOLI,Uncharacterized protein YjjI,yjjI yjjH b4380 JW4343,Escherichia coli (strain K12),516,,anaerobic respiration [GO:0009061],,,PF11230;
P37440,reviewed,UCPA_ECOLI,Oxidoreductase UcpA (EC 1.-.-.-),ucpA yfeF b2426 JW5394,Escherichia coli (strain K12),263,,,diacetyl reductase ((S)-acetoin forming) (NAD+) activity [GO:0052588],,PF13561;
P37443,reviewed,YCAI_ECOLI,Uncharacterized protein YcaI,ycaI b0913 JW5120,Escherichia coli (strain K12),754,,establishment of competence for transformation [GO:0030420],,,PF03772;PF00753;
P37626,reviewed,YHII_ECOLI,Uncharacterized protein YhiI,yhiI b3487 JW3454,Escherichia coli (strain K12),355,,transmembrane transport [GO:0055085],,,PF00529;PF13437;
P37629,reviewed,YHIL_ECOLI,Putative uncharacterized protein YhiL,yhiL b4660 JW3457 b3489 b3490,Escherichia coli (strain K12),535,,,,,PF13258;PF21661;
P37630,reviewed,YHIM_ECOLI,Inner membrane protein YhiM,yhiM b3491 JW5944,Escherichia coli (strain K12),350,,cellular response to acidic pH [GO:0071468]; temperature homeostasis [GO:0001659],,,PF10951;
P37640,reviewed,YHJB_ECOLI,Putative HTH-type transcriptional regulator YhjB,yhjB b3520 JW3488,Escherichia coli (strain K12),200,,regulation of DNA-templated transcription [GO:0006355],DNA binding [GO:0003677],,PF00196;
P37641,reviewed,YHJC_ECOLI,Uncharacterized HTH-type transcriptional regulator YhjC,yhjC b3521 JW3489,Escherichia coli (strain K12),299,,DNA-templated transcription [GO:0006351],DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565],,PF00126;PF03466;
P37642,reviewed,YHJD_ECOLI,Inner membrane protein YhjD,yhjD b3522 JW3490,Escherichia coli (strain K12),337,,lipopolysaccharide transport [GO:0015920],,,PF03631;
P37643,reviewed,YHJE_ECOLI,Inner membrane metabolite transport protein YhjE,yhjE b3523 JW3491,Escherichia coli (strain K12),440,,,transmembrane transporter activity [GO:0022857],,PF07690;PF00083;
P37648,reviewed,YHJJ_ECOLI,Protein YhjJ,yhjJ b3527 JW3495,Escherichia coli (strain K12),498,,proteolysis [GO:0006508]; response to hydrogen peroxide [GO:0042542],metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237],,PF00675;PF05193;
P37650,reviewed,BCSC_ECOLI,Cellulose synthase operon protein C,bcsC yhjL b3530 JW5942,Escherichia coli (strain K12),1157,PATHWAY: Glycan metabolism; bacterial cellulose biosynthesis.,cellulose biosynthetic process [GO:0030244],,6TZK;9B8A;9B8H;9B8I;,PF05420;PF13432;PF14559;
P37655,reviewed,BCSQP_ECOLI,Putative cellulose biosynthesis protein BcsQ,bcsQ yhjQ b3534,Escherichia coli (strain K12),242,,,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,PF06564;
P37659,reviewed,BCSG_ECOLI,Cellulose biosynthesis protein BcsG,bcsG yhjU b3538 JW3506,Escherichia coli (strain K12),559,,cellulose biosynthetic process [GO:0030244],,6PCZ;6PD0;9B8V;9FMV;9FMZ;9FNN;9FP0;,PF11658;
P37660,reviewed,YHJV_ECOLI,Inner membrane transport protein YhjV,yhjV b3539 JW3508,Escherichia coli (strain K12),423,,amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; response to radiation [GO:0009314],transmembrane transporter activity [GO:0022857],,PF03222;
P37663,reviewed,YHJY_ECOLI,Uncharacterized protein YhjY,yhjY b3548 JW5659,Escherichia coli (strain K12),232,,,,,PF03797;
P37673,reviewed,YIAL_ECOLI,Protein YiaL,yiaL b3576 JW3548,Escherichia coli (strain K12),155,,response to radiation [GO:0009314],,,PF04074;
P37681,reviewed,YIAT_ECOLI,Putative outer membrane protein YiaT,yiaT b3584 JW3556,Escherichia coli (strain K12),246,,peptidoglycan biosynthetic process [GO:0009252],,,PF06629;
P37682,reviewed,YIAU_ECOLI,Uncharacterized HTH-type transcriptional regulator YiaU,yiaU b3585 JW3557,Escherichia coli (strain K12),324,,regulation of DNA-templated transcription [GO:0006355],DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565],,PF00126;PF03466;
P37683,reviewed,YIAV_ECOLI,Inner membrane protein YiaV,yiaV b3586 JW3558,Escherichia coli (strain K12),378,,transmembrane transport [GO:0055085],,,PF00529;PF16576;
P37686,reviewed,ADH2_ECOLI,Probable alcohol dehydrogenase (EC 1.1.1.1),yiaY b3589 JW5648,Escherichia coli (strain K12),383,,,alcohol dehydrogenase (NAD+) activity [GO:0004022]; L-threonine 3-dehydrogenase activity [GO:0008743]; metal ion binding [GO:0046872],,PF25137;PF00465;
P37748,reviewed,WZY_ECOLI,Putative O-antigen polymerase,wbbH rfc wzy yefF b2035 JW2020,Escherichia coli (strain K12),388,,lipopolysaccharide biosynthetic process [GO:0009103],,,
P37751,reviewed,WBBK_ECOLI,Putative glycosyltransferase WbbK,wbbK yefI b2032 JW2017,Escherichia coli (strain K12),372,PATHWAY: Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis.,lipopolysaccharide biosynthetic process [GO:0009103],glycosyltransferase activity [GO:0016757],,PF00534;
